study,sref,type_os,stat_os,n_os,in_os,r_os,r95l_os,r95u_os,r33_os,rr33_os,p_os,n75,n50
1,(36),"F(1,52)",4.0799999,54,54,.26972803,.002120639,.50128454,.20909999,.77522528,.048559953,259,593
2,(37),t(14),13.07,15,15,.9613806,.88492548,.98737931,.4041,.420333,3.1017340e-09,14,41
3,(38),Chi2(1),5.6199999,72,72,.27788922,.049401011,.47873753,.18080001,.65061897,.017756648,246,561
4,(39),Chi2(1),16.299999,51,366,.52465248,.29116744,.69914919,.21520001,.41017628,.000054063952,65,155
5,(40),t(14),3.4100001,15,15,.67359084,.24632318,.88163918,.4041,.59991908,.0042279498,36,92
6,(41),t(55),2.24,57,57,.28914034,.030900771,.51119429,.2034,.70346463,.029151877,224,514
7,(42),z,3,178,178,.2229694,.078457758,.3583034,.1147,.51442033,.0026997961,376,853
8,(43),t(38),8.6960001,40,200,.81581438,.67613339,.89888632,.24339999,.29835218,1.4272976e-10,22,59
9,(44),z,5.7610002,63,105,.63140059,.45478103,.76023519,.1934,.30630317,8.3617042e-09,42,104
10,(45),"F(1,38)",21.629999,40,40,.60227638,.35791767,.76942945,.24339999,.40413338,.000039268718,47,114
11,(46),"F(1,82)",6.4000001,86,86,.26906911,.06065147,.45500499,.1653,.61434031,.013326087,263,601
12,(47),t(23),2.4200001,24,24,.45049948,.057563841,.72258145,.31619999,.70188761,.023826132,89,209
13,(48),"F(1,38)",6.7399998,40,40,.38813424,.08716362,.62417608,.24339999,.62710261,.013330429,123,286
14,(49),t(30),2.7839999,32,32,.45311347,.12401335,.69240832,.2728,.60205668,.0092059383,89,211
15,(50),t(198),2.881,200,366,.2005827,.06361194,.33013633,.1082,.53942835,.0044010379,462,1048
16,(51),t(34),2.3699999,36,36,.37653738,.054778013,.62745339,.25690001,.68226963,.023603488,132,306
17,(52),"F(1,18)",30.530001,20,20,.79315537,.54025882,.91464645,.3475,.43812349,.000030215393,25,66
18,(53),z,2.6170001,343,343,.14098142,.035617713,.24324539,.082599998,.5858928,.0088706343,942,2127
19,(54),"F(1,54)",4.1599998,56,56,.267445,.0048881602,.49550581,.2053,.76763451,.046294663,263,602
20,(55),t(68),3.26,69,69,.36764622,.14344758,.555951,.1847,.50238514,.0017421179,133,308
21,(56),t(28),4.8299999,30,30,.67416495,.41459227,.83228743,.28189999,.41814691,.000044143864,36,91
