study,sref,treatment,mid,hid,ts,tid,uid,investment,ttype,netsales,longs,shorts,numshares,mprice,price
1,(36),m2,63,1,2016nov08 03:00:52.267,52399,756,30,-1,-53.046215,0,-53.046215,-53.046215,-.56554461,.3704091
1,(36),m2,63,1,2016nov08 03:01:13.936,52402,729,20,-1,-83.179657,0,-83.179657,-30.133444,-.66371441,.30326533
1,(36),m2,63,1,2016nov08 03:01:22.204,52404,813,16,-1,-105.41673,0,-105.41673,-22.237076,-.71951908,.25842568
1,(36),m2,63,1,2016nov08 03:04:17.204,52424,790,10,-1,-118.67918,0,-118.67918,-13.262443,-.75400895,.23383321
1,(36),m2,63,1,2016nov08 03:06:23.330,52437,790,-5,1,-112.10202,0,-112.10174,6.5771585,.7602067,.2458221
1,(36),m2,63,1,2016nov08 03:08:02.141,52445,757,10,-1,-125.15668,0,-125.15639,-13.054663,-.76600981,.22242902
1,(36),m2,63,1,2016nov08 03:08:23.887,52449,757,10,-1,-137.84248,0,-137.84219,-12.685797,-.78828317,.20126209
1,(36),m2,63,1,2016nov08 03:08:35.650,52452,838,6,-1,-145.29921,0,-145.29892,-7.4567313,-.80464208,.1895415
1,(36),m2,63,1,2016nov08 03:08:39.830,52455,757,10,-1,-157.50037,0,-157.50008,-12.201157,-.81959444,.17150426
1,(36),m2,63,1,2016nov08 03:09:03.386,52459,790,-2,1,-155.0813,0,-155.08109,2.4190621,.82676667,.17496888
1,(36),m2,63,1,2016nov08 03:09:06.179,52460,809,20,-1,-178.85352,0,-178.8533,-23.772223,-.84131807,.14325242
1,(36),m2,63,1,2016nov08 03:12:48.385,52483,790,-3,1,-175.343,0,-175.3423,3.5105195,.85457438,.14761509
1,(36),m2,63,1,2016nov08 03:14:35.089,52493,737,5,1,-145.53055,29.81246,-175.3423,29.81246,.16771512,.18918639
1,(36),m2,63,1,2016nov08 03:16:07.114,52499,741,5,1,-121.54948,53.793518,-175.3423,23.98106,.20849787,.22873025
1,(36),m2,63,1,2016nov08 03:17:22.820,52511,729,2,-1,-124.135,53.793518,-177.92783,-2.5855198,-.77353883,.22420108
1,(36),m2,63,1,2016nov08 03:26:01.630,52544,790,-.30000001,1,-123.74814,53.793518,-177.54082,.3868627,.77546895,.22487469
1,(36),m2,63,1,2016nov08 03:35:26.396,52557,790,-.090000004,1,-123.63201,53.793518,-177.42482,.11612829,.77500498,.22507717
1,(36),m2,63,1,2016nov08 04:01:43.572,52575,728,10,-1,-136.35851,53.793518,-190.15132,-12.726501,-.78576195,.20365827
1,(36),m2,63,1,2016nov08 04:24:54.624,52590,851,1,-1,-137.61264,53.793518,-191.40546,-1.2541388,-.79735988,.20163183
1,(36),m2,63,1,2016nov08 04:25:27.883,52591,851,5,-1,-143.83684,53.793518,-197.62967,-6.2242017,-.80331588,.19179815
1,(36),m2,63,1,2016nov08 04:33:00.112,52597,734,5,1,-120.14655,77.48381,-197.62967,23.69029,.21105693,.23121461
1,(36),m2,63,1,2016nov08 04:33:18.208,52598,734,-5,-1,-143.83684,53.793518,-197.62967,-23.690289,-.21105695,.19179815
1,(36),m2,63,1,2016nov08 04:47:17.519,52604,851,3.000001,1,-122.42253,67.729523,-190.15132,21.414309,.42027974,.22719373
1,(36),m2,63,1,2016nov08 04:47:46.722,52606,851,11.99999,-1,-151.20941,53.793518,-205.00232,-28.786882,-.52107066,.18062864
1,(36),m2,63,1,2016nov08 04:58:36.478,52609,755,10,-1,-163.28555,53.793518,-217.07846,-12.076139,-.82807922,.16343956
1,(36),m2,63,1,2016nov08 05:02:50.305,52615,790,-.20999999,1,-163.03447,53.793518,-216.82646,.25107893,.83639032,.16378313
1,(36),m2,63,1,2016nov08 05:02:50.414,52616,755,10,-1,-174.8812,53.793518,-228.67319,-11.846722,-.84411538,.14819711
1,(36),m2,63,1,2016nov08 05:05:25.198,52623,748,10,-1,-186.52328,53.793518,-240.31528,-11.642088,-.85895246,.13409428
1,(36),m2,63,1,2016nov08 05:49:48.648,52646,741,3,1,-166.05687,74.259933,-240.31528,20.466413,.14658162,.15968567
1,(36),m2,63,1,2016nov08 08:05:24.147,52667,731,20,-1,-189.44354,74.259933,-263.70197,-23.386677,-.85518777,.13073957
1,(36),m2,63,1,2016nov08 10:19:16.696,52696,849,15,1,-108.89257,154.8109,-263.70197,80.550972,.18621749,.25182062
1,(36),m2,63,1,2016nov08 10:41:53.974,52705,790,6,-1,-116.83369,154.8109,-271.64307,-7.9411163,-.75556129,.23715574
1,(36),m2,63,1,2016nov08 10:42:41.179,52707,790,2.29,-1,-119.82506,154.8109,-274.63443,-2.9913683,-.76553595,.23178658
1,(36),m2,63,1,2016nov08 10:45:47.007,52709,790,1,-1,-121.12482,154.8109,-275.9342,-1.2997634,-.76937079,.22948025
1,(36),m2,63,1,2016nov08 11:08:55.531,52714,790,1.99,-1,-123.69993,154.8109,-278.50931,-2.5751023,-.77278483,.22495873
1,(36),m2,63,1,2016nov08 11:09:23.065,52716,790,.5,-1,-124.34459,154.8109,-279.15396,-.6446591,-.77560371,.22383675
1,(36),m2,63,1,2016nov08 11:16:09.258,52731,790,-1.78,1,-122.04531,154.8109,-276.85495,2.2992756,.77415687,.22785671
1,(36),m2,63,1,2016nov08 11:22:54.359,52733,790,-5,1,-115.52076,154.8109,-270.32996,6.5245509,.76633626,.23953918
1,(36),m2,63,1,2016nov08 11:43:43.701,52737,774,30,-1,-153.36862,154.8109,-308.17783,-37.847866,-.79264706,.17745499
1,(36),m2,63,1,2016nov08 11:49:06.449,52739,790,-3,1,-149.70943,154.8109,-304.51883,3.6591964,.81985217,.1828593
1,(36),m2,63,1,2016nov08 11:49:37.571,52742,790,-2.4200001,1,-146.73976,154.8109,-301.5498,2.9696596,.81490827,.18733849
1,(36),m2,63,1,2016nov08 14:03:36.079,52757,802,2,1,-136.49915,165.05153,-301.5498,10.240623,.19530062,.20343027
1,(36),m2,63,1,2016nov08 14:38:21.425,52762,797,3,1,-122.5486,179.00208,-301.5498,13.950544,.21504538,.22697245
1,(36),m2,63,1,2016nov08 14:38:57.711,52766,797,3,1,-109.95786,191.59282,-301.5498,12.590743,.23827028,.24981888
1,(36),m2,63,1,2016nov08 14:39:53.512,52770,797,6,1,-87.841652,213.70901,-301.5498,22.116205,.2712943,.29350603
1,(36),m2,63,1,2016nov08 14:40:21.685,52773,797,3,1,-77.969292,223.58138,-301.5498,9.8723593,.30387872,.31438607
1,(36),m2,63,1,2016nov08 14:40:49.547,52776,797,3,1,-68.723236,232.82744,-301.5498,9.2460566,.32446265,.33464903
1,(36),m2,63,1,2016nov08 14:41:55.161,52780,797,5,1,-54.468426,247.08224,-301.5498,14.25481,.35075879,.3670986
1,(36),m2,63,1,2016nov08 17:27:04.297,52799,806,30,-1,-98.47348,247.08224,-345.55487,-44.005051,-.68173993,.27195331
1,(36),m2,63,1,2016nov08 18:39:21.456,52811,784,20,-1,-125.02519,247.08224,-372.10657,-26.551708,-.7532472,.22265653
1,(36),m2,63,1,2016nov08 19:11:47.915,52820,783,10,-1,-137.71446,247.08224,-384.79584,-12.689277,-.78806698,.20146799
1,(36),m2,63,1,2016nov08 19:15:36.548,52824,783,20,-1,-162.18634,247.08224,-409.26773,-24.471886,-.81726438,.16494805
1,(36),m2,63,1,2016nov08 19:28:37.126,52838,778,10,1,-112.86314,296.40543,-409.26773,49.323196,.20274436,.24441375
1,(36),m2,63,1,2016nov08 19:52:55.460,52851,790,5,-1,-119.42844,296.40543,-415.83304,-6.5652976,-.76158011,.23249355
1,(36),m2,63,1,2016nov08 19:54:37.656,52852,790,-4,1,-114.18449,296.40543,-410.58875,5.2439475,.76278412,.24198177
