study,sref,treatment,pid,uid,m2_b,m2_c,m3_b1,m3_b2,m3_b3,m3_c,active
1,(40),m2,AGNPX,761,.30000001,4,,,,,1
1,(40),m2,AIRBM,850,0,2,,,,,1
1,(40),m2,ARLEI,770,.60000002,1,,,,,1
1,(40),m2,BBECX,840,.15000001,5,,,,,1
1,(40),m2,BHPTI,844,.1,5,,,,,1
1,(40),m2,BIYDE,794,.1,1,,,,,1
1,(40),m2,BKCFP,827,.15000001,3,,,,,1
1,(40),m2,BNPKB,779,.1,5,,,,,1
1,(40),m2,BZRFC,826,.25,2,,,,,1
1,(40),m2,CHIBT,784,0,4,,,,,1
1,(40),m2,CHJWI,762,.25,5,,,,,1
1,(40),m2,COGEW,742,0,5,,,,,
1,(40),m2,CUCGB,781,.050000001,2,,,,,1
1,(40),m2,CYLLX,780,.34999999,3,,,,,1
1,(40),m2,CYWGM,744,.1,5,,,,,1
1,(40),m2,DBEOL,768,.050000001,4,,,,,
1,(40),m2,DCRKI,832,.02,4,,,,,1
1,(40),m2,DLIYI,842,.15000001,3,,,,,1
1,(40),m2,DOPFI,746,0,3,,,,,
1,(40),m2,DPJYN,759,.1,1,,,,,1
1,(40),m2,DRIUI,788,.0099999998,3,,,,,1
1,(40),m2,DSMMR,748,.1,3,,,,,1
1,(40),m2,DUYEG,786,.40000001,3,,,,,1
1,(40),m2,EDRGS,782,.2,1,,,,,1
1,(40),m2,EFVYH,764,.2,4,,,,,1
1,(40),m2,EMHKN,736,.75,2,,,,,1
1,(40),m2,FDEEF,740,.2,3,,,,,1
1,(40),m2,FGOQM,783,.1,2,,,,,1
1,(40),m2,FTHMZ,743,.69999999,2,,,,,1
1,(40),m2,FZDWW,796,.1,2,,,,,1
1,(40),m2,FZMNK,841,.5,3,,,,,1
1,(40),m2,GLFJZ,754,.2,1,,,,,1
1,(40),m2,GZRWQ,819,.050000001,5,,,,,1
1,(40),m2,HARNQ,727,.80000001,5,,,,,1
1,(40),m2,HBEWR,752,.1,3,,,,,
1,(40),m2,HBQXZ,851,.050000001,3,,,,,1
1,(40),m2,HEJKB,812,.050000001,2,,,,,1
1,(40),m2,HFNSC,737,.1,3,,,,,1
1,(40),m2,HJBDQ,799,.27000001,4,,,,,1
1,(40),m2,HJEZS,810,.050000001,3,,,,,1
1,(40),m2,IBCCH,777,.1,6,,,,,1
1,(40),m2,ITXLG,755,.07,3,,,,,1
1,(40),m2,IXRCJ,805,.2,3,,,,,1
1,(40),m2,JAYYJ,734,.050000001,3,,,,,1
1,(40),m2,JDVOM,756,.2,4,,,,,1
1,(40),m2,JFFDX,820,.60000002,3,,,,,1
1,(40),m2,JJAGL,800,.40000001,1,,,,,1
1,(40),m2,JUSNB,817,.050000001,5,,,,,1
1,(40),m2,JVWRC,831,0,1,,,,,1
1,(40),m2,JXCTF,751,.02,2,,,,,1
1,(40),m2,KBPUC,767,.15000001,2,,,,,1
1,(40),m2,KCPRJ,813,.1,2,,,,,1
1,(40),m2,KIYTT,772,.050000001,1,,,,,1
1,(40),m2,KRWHP,732,0,5,,,,,
1,(40),m2,KSQVW,769,.1,5,,,,,1
1,(40),m2,LFMEQ,823,.2,2,,,,,
1,(40),m2,LYFOV,828,.050000001,7,,,,,1
1,(40),m2,MHKGW,771,.30000001,3,,,,,1
1,(40),m2,MLXQY,791,.050000001,3,,,,,1
1,(40),m2,MPQVV,846,.1,5,,,,,1
1,(40),m2,MWDSM,792,.1,3,,,,,1
1,(40),m2,MWTSC,818,.33000001,3,,,,,1
1,(40),m2,MXZEG,849,.5,3,,,,,1
1,(40),m2,NDNSG,847,.050000001,3,,,,,
1,(40),m2,NERZB,816,.17,3,,,,,1
1,(40),m2,OEXJH,745,.1,1,,,,,1
1,(40),m2,OJYDQ,730,.25,4,,,,,1
1,(40),m2,OLPSA,741,.30000001,4,,,,,1
1,(40),m2,OPSPN,735,.050000001,2,,,,,1
1,(40),m2,OTJYA,807,.050000001,5,,,,,1
1,(40),m2,PDSGL,757,.050000001,3,,,,,1
1,(40),m2,PGVWP,749,.02,3,,,,,1
1,(40),m2,PPZPY,822,.30000001,1,,,,,
1,(40),m2,PVBVQ,773,.02,3,,,,,1
1,(40),m2,PWJJQ,806,.30000001,4,,,,,1
1,(40),m2,QCTQV,803,.050000001,3,,,,,
1,(40),m2,QRNNV,778,.30000001,6,,,,,1
1,(40),m2,QYBZC,763,0,5,,,,,1
1,(40),m2,RJKJF,790,.029999999,5,,,,,1
1,(40),m2,RKDZV,793,.02,2,,,,,1
1,(40),m2,RKTOH,774,.1,5,,,,,1
1,(40),m2,RQOBK,798,.1,1,,,,,
1,(40),m2,RTXTZ,738,.050000001,2,,,,,1
1,(40),m2,RZIII,728,.0099999998,5,,,,,1
1,(40),m2,SKXRF,750,.34999999,3,,,,,1
1,(40),m2,SNNRO,801,.1,2,,,,,1
1,(40),m2,SOOYS,766,0,1,,,,,1
1,(40),m2,SVOWQ,802,.34999999,2,,,,,1
1,(40),m2,SXMNT,775,.89999998,6,,,,,1
1,(40),m2,TDFNU,739,.2,2,,,,,
1,(40),m2,TDLLY,808,.2,3,,,,,1
1,(40),m2,TICTG,747,.0099999998,6,,,,,1
1,(40),m2,TLEEF,821,.1,2,,,,,1
1,(40),m2,TNUTC,785,.2,3,,,,,1
1,(40),m2,TPMTB,838,.19,1,,,,,1
1,(40),m2,TQUSO,829,.30000001,5,,,,,1
1,(40),m2,TVNAD,760,.30000001,4,,,,,1
1,(40),m2,TYDLF,848,.15000001,3,,,,,1
1,(40),m2,TZHAK,833,0,6,,,,,1
1,(40),m2,UFEYS,776,.2,5,,,,,1
1,(40),m2,UONRK,804,.40000001,2,,,,,1
1,(40),m2,UXMBH,835,.1,3,,,,,1
1,(40),m2,UYSCS,797,.5,1,,,,,1
1,(40),m2,VBFGR,824,.40000001,2,,,,,1
1,(40),m2,VEOXL,834,.14,5,,,,,1
1,(40),m2,VHWFI,836,.2,1,,,,,1
1,(40),m2,VQQGL,726,.25,5,,,,,1
1,(40),m2,VSYYJ,843,.5,1,,,,,1
1,(40),m2,WEESC,729,.2,5,,,,,1
1,(40),m2,WEZFA,787,.2,5,,,,,1
1,(40),m2,WOVCG,815,.2,1,,,,,
1,(40),m2,WTOCY,809,.2,4,,,,,1
1,(40),m2,WUKAA,731,.2,1,,,,,1
1,(40),m2,XDCSW,753,.0099999998,1,,,,,1
1,(40),m2,XEPOZ,837,.2,4,,,,,1
1,(40),m2,XJMAV,733,.050000001,2,,,,,1
1,(40),m2,XMREM,830,.050000001,1,,,,,1
1,(40),m2,XPQFY,758,.050000001,2,,,,,1
1,(40),m2,YIQTI,814,.30000001,5,,,,,1
1,(40),m2,YJPRG,825,.60000002,3,,,,,
1,(40),m2,YKWAH,839,.5,2,,,,,1
1,(40),m2,YMKYG,724,.050000001,1,,,,,1
1,(40),m2,YPCFD,795,.0099999998,4,,,,,1
1,(40),m2,YQXIE,811,.69999999,3,,,,,1
1,(40),m2,YUMWF,765,.1,7,,,,,1
