x;alpha
0;3.77061E-17
0.001956947;3.74923E-17
0.003913894;1.30863E-16
0.005870841;1.45238E-16
0.007827789;9.55061E-17
0.009784736;3.92207E-17
0.011741683;0
0.01369863;0
0.015655577;0
0.017612524;0
0.019569472;0
0.021526419;0
0.023483366;0
0.025440313;0
0.02739726;5.02184E-17
0.029354207;1.4991E-16
0.031311155;0
0.033268102;0
0.035225049;0
0.037181996;0
0.039138943;0
0.04109589;0
0.043052838;1.00065E-18
0.045009785;5.48434E-17
0.046966732;1.61861E-16
0.048923679;1.20139E-17
0.050880626;0
0.052837573;1.20424E-16
0.054794521;2.25248E-17
0.056751468;0
0.058708415;0
0.060665362;8.29918E-17
0.062622309;3.13673E-17
0.064579256;0
0.066536204;0
0.068493151;1.39289E-16
0.070450098;8.94295E-17
0.072407045;6.29707E-17
0.074363992;5.13885E-17
0.076320939;1.97039E-16
0.078277886;2.03218E-16
0.080234834;9.92464E-17
0.082191781;1.29472E-16
0.084148728;1.82535E-16
0.086105675;3.33201E-16
0.088062622;1.19542E-16
0.090019569;1.94289E-16
0.091976517;2.90496E-16
0.093933464;4.56617E-16
0.095890411;1.33046E-16
0.097847358;1.74695E-16
0.099804305;4.53558E-16
0.101761252;3.25953E-16
0.1037182;1.833E-16
0.105675147;3.62383E-16
0.107632094;3.99116E-16
0.109589041;7.89476E-16
0.111545988;3.88825E-16
0.113502935;3.35731E-16
0.115459883;1.82194E-16
0.11741683;4.58269E-16
0.119373777;7.70132E-17
0.121330724;0
0.123287671;8.72345E-17
0.125244618;2.36869E-16
0.127201566;1.16434E-16
0.129158513;2.09959E-16
0.13111546;2.77556E-16
0.133072407;5.59757E-16
0.135029354;5.53612E-16
0.136986301;4.44089E-16
0.138943249;4.13819E-16
0.140900196;6.17389E-16
0.142857143;6.17204E-16
0.14481409;3.38049E-16
0.146771037;3.01152E-16
0.148727984;5.74271E-16
0.150684932;8.01875E-16
0.152641879;5.55112E-16
0.154598826;5.04344E-16
0.156555773;6.02133E-16
0.15851272;1.08422E-15
0.160469667;9.0417E-16
0.162426614;1.13499E-15
0.164383562;1.01636E-15
0.166340509;1.0964E-15
0.168297456;1.00969E-15
0.170254403;1.11022E-15
0.17221135;1.10641E-15
0.174168297;9.98725E-16
0.176125245;8.91039E-16
0.178082192;4.95809E-17
0.180039139;0
0.181996086;1.96302E-16
0.183953033;3.24164E-17
0.18590998;0
0.187866928;0
0.189823875;0
0.191780822;0
0.193737769;0
0.195694716;0
0.197651663;0
0.199608611;0
0.201565558;0
0.203522505;0
0.205479452;0
0.207436399;0
0.209393346;0
0.211350294;0
0.213307241;0
0.215264188;0
0.217221135;0
0.219178082;0
0.221135029;0
0.223091977;0
0.225048924;0
0.227005871;0
0.228962818;0
0.230919765;0
0.232876712;0
0.234833659;0
0.236790607;0
0.238747554;1.38195E-18
0.240704501;1.09067E-16
0.242661448;5.29177E-18
0.244618395;2.04787E-16
0.246575342;3.21101E-16
0.24853229;8.11667E-16
0.250489237;1.49114E-16
0.252446184;6.23324E-16
0.254403131;1.38907E-14
0.256360078;3.8531E-13
0.258317025;8.38332E-12
0.260273973;1.39649E-10
0.26223092;1.78045E-09
0.264187867;1.74065E-08
0.266144814;1.30835E-07
0.268101761;7.58736E-07
0.270058708;3.41E-06
0.272015656;1.19414E-05
0.273972603;3.27803E-05
0.27592955;7.09637E-05
0.277886497;0.000121777
0.279843444;0.000166219
0.281800391;0.000180673
0.283757339;0.000156238
0.285714286;0.000107223
0.287671233;5.82256E-05
0.28962818;2.50463E-05
0.291585127;9.10793E-06
0.293542074;5.3388E-06
0.295499022;1.12701E-05
0.297455969;3.01959E-05
0.299412916;6.74098E-05
0.301369863;0.000120316
0.30332681;0.000169876
