x;phi
0;1.69056E-17
0.001956947;0
0.003913894;0
0.005870841;0
0.007827789;0
0.009784736;6.46657E-17
0.011741683;1.39316E-16
0.01369863;6.11641E-17
0.015655577;0
0.017612524;0
0.019569472;1.12622E-17
0.021526419;1.36041E-16
0.023483366;5.78816E-18
0.025440313;1.49357E-16
0.02739726;1.20158E-16
0.029354207;6.80566E-17
0.031311155;5.55112E-17
0.033268102;1.93656E-17
0.035225049;0
0.037181996;0
0.039138943;3.23942E-17
0.04109589;5.81363E-17
0.043052838;6.07286E-17
0.045009785;1.16751E-16
0.046966732;1.45052E-16
0.048923679;8.04702E-17
0.050880626;1.44233E-16
0.052837573;1.95823E-16
0.054794521;2.34898E-16
0.056751468;3.2979E-17
0.058708415;1.32192E-16
0.060665362;2.62445E-16
0.062622309;3.21813E-16
0.064579256;2.2178E-16
0.066536204;2.42326E-16
0.068493151;2.23314E-16
0.070450098;2.87428E-16
0.072407045;3.63559E-16
0.074363992;3.11479E-16
0.076320939;3.9685E-16
0.078277886;5.13478E-16
0.080234834;4.79126E-16
0.082191781;3.41606E-16
0.084148728;5.36688E-16
0.086105675;9.40472E-16
0.088062622;3.41169E-15
0.090019569;1.68038E-14
0.091976517;8.30482E-14
0.093933464;3.85449E-13
0.095890411;1.6808E-12
0.097847358;6.87229E-12
0.099804305;2.63426E-11
0.101761252;9.47019E-11
0.1037182;3.19491E-10
0.105675147;1.0123E-09
0.107632094;3.01534E-09
0.109589041;8.454E-09
0.111545988;2.23404E-08
0.113502935;5.57318E-08
0.115459883;1.31473E-07
0.11741683;2.93794E-07
0.119373777;6.42738E-07
0.121330724;1.33098E-06
0.123287671;2.59361E-06
0.125244618;4.7599E-06
0.127201566;8.23485E-06
0.129158513;1.3444E-05
0.13111546;2.07354E-05
0.133072407;3.02537E-05
0.135029354;4.18208E-05
0.136986301;5.48785E-05
0.138943249;6.85438E-05
0.140900196;8.18083E-05
0.142857143;9.38647E-05
0.14481409;0.000104488
0.146771037;0.000114353
0.148727984;0.000125159
0.150684932;0.000139742
0.152641879;0.000161322
0.154598826;0.000192346
0.156555773;0.000234426
0.15851272;0.000288014
0.160469667;0.000352557
0.162426614;0.000426957
0.164383562;0.000510137
0.166340509;0.000601493
0.168297456;0.000701025
0.170254403;0.000809091
0.17221135;0.000925855
0.174168297;0.001050651
0.176125245;0.001181495
0.178082192;0.001314924
0.180039139;0.00144619
0.181996086;0.001569449
0.183953033;0.001677995
0.18590998;0.00176716
0.187866928;0.001833405
0.189823875;0.001875721
0.191780822;0.001896621
0.193737769;0.001902788
0.195694716;0.001904937
0.197651663;0.001916661
0.199608611;0.001952339
0.201565558;0.00202458
0.203522505;0.002141899
0.205479452;0.00230735
0.207436399;0.002518537
0.209393346;0.002768969
0.211350294;0.003050269
0.213307241;0.003354425
0.215264188;0.003676191
0.217221135;0.004010698
0.219178082;0.004356406
0.221135029;0.004712972
0.223091977;0.005081224
0.225048924;0.005463668
0.227005871;0.005865124
0.228962818;0.006292951
0.230919765;0.006756416
0.232876712;0.007265152
0.234833659;0.007826994
0.236790607;0.008445793
0.238747554;0.00911983
0.240704501;0.009841304
0.242661448;0.010597055
0.244618395;0.011370311
0.246575342;0.012141964
0.24853229;0.012893581
0.250489237;0.013611291
0.252446184;0.014284879
0.254403131;0.014908576
0.256360078;0.015482201
0.258317025;0.016012686
0.260273973;0.016515527
0.26223092;0.017015325
0.264187867;0.017544682
0.266144814;0.018141156
0.268101761;0.018842621
0.270058708;0.019681962
0.272015656;0.020682243
0.273972603;0.021853387
0.27592955;0.023190984
0.277886497;0.024681131
0.279843444;0.026293638
0.281800391;0.027990725
0.283757339;0.029743115
0.285714286;0.03152908
0.287671233;0.03333703
0.28962818;0.035165446
0.291585127;0.037020608
0.293542074;0.038913352
0.295499022;0.040856338
0.297455969;0.042862808
0.299412916;0.044946877
0.301369863;0.047124449
0.30332681;0.049413396
0.305283757;0.051832041
0.307240705;0.054395957
0.309197652;0.057116203
0.311154599;0.059999814
0.313111546;0.063029554
0.315068493;0.066194488
0.31702544;0.069485525
0.318982387;0.072897987
0.320939335;0.07643128
0.322896282;0.080086236
0.324853229;0.083861953
0.326810176;0.087754091
0.328767123;0.091755736
0.33072407;0.095860414
0.332681018;0.100065571
0.334637965;0.104374371
0.336594912;0.108794481
0.338551859;0.113334121
0.340508806;0.117997285
0.342465753;0.122787664
0.344422701;0.12768839
0.346379648;0.132688861
0.348336595;0.13778525
0.350293542;0.142982506
